	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV15018	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV15019	Bacteria	NA	NA	NA	NA	NA	NA
ASV15020	Bacteria	NA	NA	NA	NA	NA	NA
ASV15021	Bacteria	NA	NA	NA	NA	NA	NA
ASV15022	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV15023	Bacteria	Patescibacteria	ABY1	Candidatus_Kuenenbacteria	NA	NA	NA
ASV15024	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV15025	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	Candidatus_Finniella	NA
ASV15026	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	NA
ASV15027	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV15028	Bacteria	Verrucomicrobiota	Lentisphaeria	Lentisphaerales	Lentisphaeraceae	Lentisphaera	NA
ASV15029	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
ASV15030	Bacteria	Patescibacteria	ABY1	NA	NA	NA	NA
ASV15031	Bacteria	Patescibacteria	Gracilibacteria	NA	NA	NA	NA
ASV15032	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	OLB12	NA
ASV15033	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Roseibacillus	NA
ASV15034	Bacteria	Planctomycetota	OM190	NA	NA	NA	NA
ASV15035	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	NA	NA
ASV15036	Bacteria	NB1-j	NA	NA	NA	NA	NA
ASV15037	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV15038	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
ASV15039	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV15040	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV15041	Bacteria	NA	NA	NA	NA	NA	NA
ASV15042	Bacteria	Planctomycetota	Phycisphaerae	MSBL9	SG8-4	NA	NA
ASV15044	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011_GWC1_47_15	NA	NA
ASV15045	Bacteria	NA	NA	NA	NA	NA	NA
ASV15046	Bacteria	NA	NA	NA	NA	NA	NA
ASV15047	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	NA	NA
ASV15048	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA	NA
ASV15049	Bacteria	NA	NA	NA	NA	NA	NA
